,Consulta 1,Consulta 2,Documento
0,0,1,1-s2.0-S0040162516000500-main.pdf
1,0,1,1-s2.0-S0268401214001066-main.pdf
2,0,1,1-s2.0-S1532046413001007-main.pdf
3,0,1,1-s2.0-S1877050915005220-main.pdf
4,0,1,1-s2.0-S2212827114000857-main.pdf
5,0,1,10.1.1.452.9557.pdf
6,0,1,10334-ar-promise-peril-of-big-data.pdf
7,0,1,11606_2013_Article_2455.pdf
8,0,1,2196-1115-1-2.pdf
9,0,1,2_The_New_York_Times_on_The_Age_of_Big_D.pdf
10,0,1,4892a995.pdf
11,0,1,A Big Data Analytical Framework for Sports Behavior Mining and Personalized Health Services.pdf
12,0,1,A big data analytics framework for forecasting rare customer complaints A use case of predicting MA members- complaints to CMS.pdf
13,0,1,A big data framework for spacecraft prognostics and health monitoring.pdf
14,0,1,A comparitive study on traditonal healthcare system and present healthcare system using cloud computing and big data.pdf
15,0,1,A Data Capturing Platform in the Cloud for Behavioral Analysis among Smokers An Application Platform for Public Health Research.pdf
16,0,1,A dynamic approach to medical data for smart Indian healthcare.pdf
17,0,1,A framework for smart transportation using Big Data.pdf
18,0,1,A guideline to determine the training sample size when applying big data mining methods in clinical decision making.pdf
19,0,1,A Novel Big Data Modeling Method for Improving Driving Range Estimation of EVs.pdf
20,0,1,A novel big-data processing framwork for healthcare applications Big-data-healthcare-in-a-box.pdf
21,0,1,A novel technique of motif discovery for medical big data using hadoop.pdf
22,0,1,A personalized recommendation engine for prediction of disorders using big data analytics.pdf
23,0,1,A robust software architecture based on distributed systems in big data healthcare.pdf
24,0,1,A tracking system for monitoring in health of various workers are working in different working environment BDA application.pdf
25,0,1,Aircraft Health Management Based on Big Data Flow and Fault Rules Network.pdf
26,0,1,Algorithms for Big Data Delivery over the Internet of Things.pdf
27,0,1,Analysis and visualization of health data from the CAB dataset.pdf
28,0,1,Application of Analytics to Big Data in Healthcare.pdf
29,0,1,Application of Dendrobium Compound Preparation in the Health Environment of Big Data Smart City.pdf
30,0,1,Article 1134 _ (www.downloadnema.com).pdf
31,0,1,Article 1144 _ (www.downloadnema.com).pdf
32,0,1,Aviation PHM system research framework based on PHM big data center.pdf
33,0,1,Big data analysis for heart disease detection system using map reduce technique.pdf
34,0,1,Big data analytics for health systems.pdf
35,0,1,Big Data Analytics Framework for System Health Monitoring.pdf
36,0,1,Big data analytics of IoT based Health care monitoring system.pdf
37,0,1,Big data application for analysis of flight test data.pdf
38,0,1,Big data application in functional magnetic resonance imaging using apache spark.pdf
39,0,1,Big Data as an e-Health Service.pdf
40,0,1,Big data driven healthcare services and wearables.pdf
41,0,1,Big data for institutional planning- decision support and academic excellence.pdf
42,0,1,Big Data in Biomedicine.pdf
43,0,1,Big data in health care A mobile based solution.pdf
44,0,1,big data JAMA 2013.pdf
45,0,1,Big data platform for public health policies.pdf
46,0,1,Big Data Security and Privacy Issues in Healthcare.pdf
47,0,1,Big Data service engine -BISE- Integration of Big Data technologies for human centric wellness data.pdf
48,0,1,Big data stream computing in healthcare real-time analytics.pdf
49,0,1,Big Data- Big Knowledge Big Data for Personalized Healthcare.pdf
50,0,1,Big social data analytics for public health Comparative methods study and performance indicators of health care content on Facebook.pdf
51,0,1,Big social data analytics for public health Facebook engagement and performance.pdf
52,0,1,Big-Data Based Decision-Support Systems to Improve Clinicians- Cognition.pdf
53,0,1,Big-data-analytics--Understanding-its-capabilities_2018_Technological-Foreca.pdf
54,0,1,big-data-in-healthcare_B_Kaplan_2012.pdf
55,0,1,Big-Data-technologies--_2017_Journal-of-King-Saud-University---Computer-and-.pdf
56,0,1,big.2012.0002.pdf
57,0,1,Bigdatasecurityandprivacyissuesinhealthcare.pdf
58,0,1,BigDataSurvey2014.pdf
59,0,1,Big_data_for_Health.pdf
60,0,1,Big_Data_Revolution.pdf
61,0,1,bii.s31559.pdf
62,0,1,Biomedical Big Data for Clinical Research and Patient Care Role of Semantic Computing.pdf
63,0,1,Broad big data domain via medical big data.pdf
64,0,1,Building a cloud-based platform for personal health sensor data management.pdf
65,0,1,Building platform application big sensor data for e-health wireless body area network.pdf
66,0,1,Business model canvas perspective on big data applications.pdf
67,0,1,Challenges and Opportunities of Big Data in Health Care_ A Systematic Review.pdf
68,0,1,Characteristics and classification of big data in health care sector.pdf
69,0,1,Connected health Opportunities and challenges.pdf
70,0,1,Correlation Analysis Between Vehicular Traffic and PM Using Sensor Big Data.pdf
71,0,1,Critical-analysis-of-Big-Data-challenges-and-anal_2017_Journal-of-Business-R.pdf
72,0,1,d3c3d02f3493097be0d0f190bdc322c7519b.pdf
73,0,1,Data Mining and Management System Design and Application for College Student Mental Health.pdf
74,0,1,Data--DIKW--Big-Data-and-Data-Science_2014_Procedia-Computer-Science.pdf
75,0,1,Debating-big-data--A-literature-review-on-re_2017_The-Journal-of-Strategic-I.pdf
76,0,1,Design of a health-data model and a query-driven implementation in Cassandra.pdf
77,0,1,Discovering Environmental Impacts on Public Health Using Heterogeneous Big Sensory Data.pdf
78,0,1,E2-2013.04-The-big-data-revolution-in-US-health-care-Accelerating-value-and-innovation.pdf
79,0,1,Effective implementation of data segregation -amp- extraction using big data in E - health insurance as a service.pdf
80,0,1,Efficient privacy preservation technique for healthcare records using big data.pdf
81,0,1,Evaluation of data quality of multisite electronic health record data for secondary analysis.pdf
82,0,1,Exploitation of -Big Data- The experience feedback of the french military health service on sanitary data.pdf
83,0,1,Extended definition of medical big data.pdf
84,0,1,Facebook and public health A study to understand facebook post performance with organizations- strategy.pdf
85,0,1,Fihuo A Moblie Smart Health Service Platform.pdf
86,0,1,Framework for the identification of fraudulent health insurance claims using association rule mining.pdf
87,0,1,From Big Data to Big Knowledge The art of making Big Data alive.pdf
88,0,1,From stars to patients Lessons from space science and astrophysics for health care informatics.pdf
89,0,1,Genetic deep neural networks using different activation functions for financial data mining.pdf
90,0,1,Geospatial health context table.pdf
91,0,1,H-DRIVE A Big Health Data Analytics Platform for Evidence-Informed Decision Making.pdf
92,0,1,Harnessing the potential of big data in Romanian healthcare.pdf
93,0,1,Health information exchange in the wake of -big data- paradigm - The theme is from -quality of information to quality of life-.pdf
94,0,1,hir-19-79.pdf
95,0,1,hir-22-156.pdf
96,0,1,hlthaff.2014.0041.pdf
97,0,1,hlthaff.2014.0053.pdf
98,0,1,hlthaff.2014.0147.pdf
99,0,1,hlthaff.2014.0771.pdf
100,0,1,Holistic disaster recovery approach for big data NoSQL workloads.pdf
101,0,1,Holistic perspective of big data in healthcare.pdf
